auction_name,auction_role,auction_country,player_id,matched_registry_name,tier,confidence,note
Anshul Kamboj,ALL-ROUNDER,India,fcc21ace,A Kamboj,1b-abbrev-exact,,
Mohd. Arshad Khan,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 87.5: Maaz Khan
Darshan Nalkande,ALL-ROUNDER,India,cd8d2859,DG Nalkande,2-fuzzy,95.2,
Suyash Prabhudessai,ALL-ROUNDER,India,9385de2e,SS Prabhudessai,2-fuzzy,96.6,
Anukul Roy,ALL-ROUNDER,India,e4cdf230,AS Roy,A-auto,,"manual: AS+surname, first-initial"
Swapnil Singh,ALL-ROUNDER,India,983f2f61,Swapnil Singh,1-exact,,
Sanvir Singh,ALL-ROUNDER,India,b0f2baf4,Sanvir Singh,1-exact,,
Avanish Aravelly,WICKETKEEPER,India,,,3-nomatch,,best fuzzy candidate only 70.0: A Karvelas
Vansh Bedi,WICKETKEEPER,India,,,3-nomatch,,best fuzzy candidate only 61.5: AS Bedi
Saurav Chauhan,WICKETKEEPER,India,9e7225b0,Saurav Chauhan,1-exact,,
Harvik Desai,WICKETKEEPER,India,9c86350f,H Desai,1b-abbrev-exact,,
Tom Kohler-Cadmore,WICKETKEEPER,England,f836b33d,T Kohler-Cadmore,2-fuzzy,94.1,
Kunal Rathore,WICKETKEEPER,India,e3851766,KS Rathore,2-fuzzy,94.7,
B.R Sharath,WICKETKEEPER,India,c2dd89ea,BR Sharath,1-exact,,
Gurnoor Singh Brar,BOWLER,India,99258814,Gurnoor Brar,A-auto,,manual: full first+surname
Mukesh Choudhary,BOWLER,India,765a4731,Mukesh Choudhary,1-exact,,
Sakib Hussain,BOWLER,India,280fff14,Sakib Hussain,1-exact,,
Vidwath Kaverappa,BOWLER,India,d4d929b0,V Kaverappa,1b-abbrev-exact,,
Rajan Kumar,BOWLER,India,cd474693,Rajan Kumar,1-exact,,
Sushant Mishra,BOWLER,India,92500ad5,SS Mishra,2-fuzzy,94.1,
Arjun Tendulkar,BOWLER,India,44aac2f0,Arjun Tendulkar,1-exact,,
Zeeshan Ansari,BOWLER,India,36619795,Zeeshan Ansari,1-exact,,
Prince Choudhary,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 87.0: MD Choudhary
Himanshu Sharma,BOWLER,India,52294a79,H Sharma,1b-abbrev-exact,,
M. Siddharth,BOWLER,India,cf0ccafa,M Siddharth,1-exact,,
Digvesh Singh,BOWLER,India,13fc5c6d,DS Rathi,B-manual,,manual: full name Digvesh Singh Rathi (LSG spinner) -- Cricsheet files him under Rathi
Prashant Solanki,BOWLER,India,c695b423,PH Solanki,2-fuzzy,94.7,
Jhathavedh Subramanyan,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 73.3: Subramanian Anand
Finn Allen,BATTER,New Zealand,bf74b130,FH Allen,2-fuzzy,93.3,
Dewald Brevis,BATTER,South Africa,844e79d1,D Brevis,1b-abbrev-exact,,
Ben Duckett,BATTER,England,5f26f677,BM Duckett,2-fuzzy,94.7,
Manish Pandey,BATTER,India,93b4fc78,MK Pandey,2-fuzzy,94.1,
Rilee Rossouw,BATTER,South Africa,cad00a4d,RR Rossouw,A-auto,,"manual: RR+surname, first-initial"
Sherfane Rutherford,BATTER,West Indies,d014d5ac,SE Rutherford,2-fuzzy,96.0,
Ashton Turner,BATTER,Australia,ff1e12a0,AJ Turner,2-fuzzy,94.1,
James Vince,BATTER,England,a15618fe,JM Vince,2-fuzzy,93.3,
Shahbaz Ahamad,ALL-ROUNDER,India,f9e6e7ef,Shahbaz Ahmed,2-fuzzy,88.9,
Moeen Ali,ALL-ROUNDER,England,bb351c23,MM Ali,2-fuzzy,90.9,
Tim David,ALL-ROUNDER,Australia,f1f99156,TH David,2-fuzzy,93.3,
Deepak Hooda,ALL-ROUNDER,India,73ad96ed,DJ Hooda,2-fuzzy,93.3,
