player_id,player_name,country,primary_role
08da9c7a,Hamza Nisar,Spain,Batter
08deefa3,Guillermo Aburto,Chile,Batter
08df0bd3,A Rangaswamy,Botswana,Bowler
08f04bc3,Muhammad Abbasi,Saudi Arabia,Batter
08fda2e1,Shoaib Khan jnr,Pakistan,Batter
090f9211,Shahadat Hossain,Bangladesh,Bowler
090f96e4,Muhammad Nadir,Rwanda,All-rounder
091880f7,Shantanu Kaveri,Mexico,Batter
092ccf20,JS Kundi,Kenya,Batter
0939c670,MA Ouma,Kenya,Batter
093ae70b,Hamid Hassan,,Bowler
0940c7e0,NMJ Reifer,,Batter
09497f5a,S Pillay,,Batter
094ebfb6,R Avery,Brazil,Bowler
096601c5,DKJ Claude,Ivory Coast,Batter
096e4b45,SA Nanayakkara,,Batter
098229a5,CH Stobo,,Bowler
098753fe,KI Fernando,,Batter
098a757c,Muhammad Jawadullah,United Arab Emirates,Bowler
099135ad,Aryan Lakra,United Arab Emirates,Batter
0994d0ae,V Shankar,India,All-rounder
0996f198,Luka Woods,Serbia,Batter
09a341f9,G Ajitesh,,Batter
09a3f653,Parth Bhut,,Bowler
09a6cce7,Yousuf Aslam,Singapore,Bowler
09a71776,Satyajeet Bachhav,,Bowler
09a9d073,J Charles,West Indies,Wicketkeeper
09b4d92f,D Ranatunga,,Batter
09c766ec,Mohsin Zaki,Bahrain,Bowler
09cb47d4,Deepak Behera,,Bowler
09e5baeb,GF Cardos,Timor-Leste,Batter
09e86895,Pyae Phyo Wai,Myanmar,Batter
09ea761c,BB Roy,,Batter
09ecc596,Aue Oru,Papua New Guinea,Bowler
09f0aba1,Mohammed Jamadar,Lesotho,Batter
0a01e891,Tian Suqing,China,Batter
0a12e736,TMJ Smith,,Bowler
0a15f357,Prashant Shukla,Sweden,Bowler
0a1c6932,AA Inham,,Batter
0a2184d9,D Lakshan,,Batter
0a2d45b0,C Wijesinghe,,Bowler
0a3049c5,BG McDonald,,Bowler
0a396666,MD Wagstaff,,Bowler
0a3d54b9,VR Aaron,,Bowler
0a4736eb,Asif Ali,Bahrain,Batter
0a476045,S Dhawan,India,Batter
0a4ebc61,T Henderson,South Africa,Batter
0a509d6b,RK Singh,India,Batter
0a5718ef,Iftekar Jaman,Cyprus,Batter
0a67aec0,Akash Deep,,Bowler
0a7c6649,HRC Came,,Batter
0a8fce53,Mustafizur Rahman,Bangladesh,Bowler
0a92f0e2,Ismail Kara,Zambia,Batter
0a95c25a,Kaif Jamadar,Finland,Batter
0a9d8b61,JL Carter,,Batter
0aadc906,PR Shah,,Wicketkeeper
0ab42b8d,J Kemp,Jersey,Batter
0abb2525,M Heingo,Namibia,Bowler
0abc33ff,Muhammad Umar,Kuwait,Batter
0abf3da7,A Kadowaki Fleming,Japan,Batter
0ac067e8,DR Hooper,Guernsey,Bowler
0ad1b607,Khalil Ahmed,,Bowler
0af3426f,SS Mundhe,,Batter
0af4a90b,J Avendano,,Batter
0b07cb5e,OJR Groves,Slovenia,Batter
0b0cc297,Tanzim Hasan Sakib,Bangladesh,All-rounder
0b130202,CL Cairns,New Zealand,Batter
0b189b5e,Usman Tariq,,Bowler
0b22ec0f,G Tuskan,Turkey,Bowler
0b2f7328,Muhammad Riazullah,,Batter
0b30bc8a,AA Pragasam,,Bowler
0b37840b,J Dickinson,Scotland,Batter
0b40a82a,SS Dobal,,Batter
0b581ed6,J Sumerauer,Jersey,All-rounder
0b60eb09,KA Maharaj,South Africa,All-rounder
0b62d391,A Gharti,,Batter
0b7363da,Mehedi Hasan Rana,,Bowler
0b74c729,S Patel,,Batter
0b7b78c6,Hammad Mirza,Oman,Batter
0b91b5d5,R Smith,Bahamas,Bowler
0b960e01,Jatin Saxena,,Batter
0b9a4ad6,MB Harris,,Bowler
0ba03cec,R van Tonder,,Batter
0ba9de33,HER Tyler,Philippines,Batter
